duration,src_ip_1,src_ip_2,src_ip_3,src_ip_4,dst_ip_1,dst_ip_2,dst_ip_3,dst_ip_4,src_port,dst_port,protocol,tos,ttl,packets,bytes,TCPflags,label
14.068,208,91,102,173,42,219,153,128,4026,80,TCP,0,0,4,184,.A..S.,background
19.936,211,55,2,179,42,219,158,212,60423,50539,UDP,0,0,5,698,.A....,background
0.0,42,219,153,191,217,90,59,255,53,44046,UDP,0,0,4,6000,.A....,background
15.38,42,219,153,89,218,64,40,165,62687,12350,TCP,0,0,9,822,.AP.SF,background
0.0,42,219,156,231,143,72,8,137,50813,53,UDP,0,0,1,76,.A....,background
26.26,42,219,155,26,70,251,66,16,443,10012,TCP,0,0,8,3721,.AP.SF,background
20.472,209,58,208,143,42,219,156,211,40173,80,TCP,0,0,6,652,.AP.SF,background
9.004,176,165,12,143,42,219,155,59,64976,42776,TCP,0,0,3,152,....S.,background
0.312,165,129,146,252,42,219,156,211,37368,80,TCP,0,0,6,687,.AP.SF,background
2.972,42,219,159,95,99,182,139,196,15299,445,TCP,0,0,2,96,....S.,background
0.288,42,219,159,92,33,34,5,168,47142,443,TCP,0,0,10,2018,.AP.SF,background
0.0,42,219,153,191,87,17,252,139,53,52740,UDP,0,0,1,1500,.A....,background
0.0,42,219,154,123,143,72,8,137,50051,53,UDP,0,0,1,67,.A....,background
2.912,42,219,159,95,199,35,96,196,20757,445,TCP,0,0,2,96,....S.,background
0.0,42,219,153,191,101,88,70,92,53,3609,UDP,0,0,4,6000,.A....,background
0.0,143,72,8,137,42,219,158,161,53,47373,UDP,0,0,1,78,.A....,background
4.848,42,219,156,211,213,171,32,51,443,54087,TCP,0,0,13,8409,.AP.SF,background
14.004,85,194,32,87,42,219,159,91,443,50269,TCP,0,0,5,359,.AP.SF,background
0.0,143,72,8,137,42,219,157,23,53,38556,UDP,0,0,2,349,.A....,background
1.012,42,219,156,211,67,209,212,218,443,51107,TCP,0,0,6,1754,.AP.SF,background
0.092,76,164,207,103,42,219,153,128,39167,80,TCP,0,0,6,1078,.AP.SF,background
4.38,42,219,158,156,168,38,13,19,443,58102,TCP,0,0,36,39126,.AP.SF,background
0.608,63,238,133,13,42,219,154,135,39516,80,TCP,0,0,7,460,.AP.SF,background
5.304,222,50,244,6,42,219,156,211,64595,443,TCP,0,0,14,1528,.AP.S.,background
0.192,42,219,153,72,197,187,132,23,25,61632,TCP,0,0,4,202,.AP.SF,background
0.0,42,219,159,94,143,72,8,137,56913,53,UDP,0,0,1,60,.A....,background
0.456,42,219,153,45,69,132,154,8,25,58627,TCP,0,0,15,1039,.AP.SF,background
0.0,42,219,158,161,143,72,8,137,52500,53,UDP,0,0,1,93,.A....,background
7.012,42,219,156,211,216,59,195,187,443,58056,TCP,0,0,13,7639,.AP.SF,background
1.172,74,83,56,82,42,219,155,28,38787,443,TCP,0,72,11,2809,.APRSF,background
107.148,100,186,122,112,42,219,158,190,49617,80,TCP,0,0,85,7820,.AP...,background
0.276,42,219,156,211,209,135,163,140,80,49657,TCP,0,0,4,890,.AP.SF,background
0.0,176,166,239,149,42,219,153,62,62324,53,UDP,0,0,1,86,.A....,background
9.184,42,219,156,246,67,208,182,66,80,51308,TCP,0,0,139,200167,.AP.SF,background
0.3,62,100,97,66,42,219,156,211,57994,80,TCP,0,0,6,700,.AP.SF,background
0.0,143,72,8,137,42,219,154,128,53,34743,UDP,0,0,1,139,.A....,background
0.0,42,219,156,211,165,13,147,142,80,48492,TCP,0,0,1,52,.A....,background
0.0,42,219,154,96,143,72,8,137,53943,53,UDP,0,0,1,87,.A....,background
0.104,42,219,153,58,212,119,14,7,80,53611,TCP,0,0,3,1256,.AP.SF,background
0.0,42,219,153,191,221,47,202,177,53,53212,UDP,0,0,1,1500,.A....,background
0.012,213,36,155,57,42,219,156,211,57100,443,TCP,0,0,2,135,.APR..,background
0.0,42,219,152,249,234,16,196,32,53,696,UDP,0,0,1,93,.A....,background
2.96,42,219,159,95,54,178,184,193,11393,445,TCP,0,0,2,96,....S.,background
0.308,42,219,154,101,209,50,174,90,443,60787,TCP,0,0,7,1980,.AP.SF,background
1.024,64,63,235,105,42,219,155,28,40230,443,TCP,0,0,12,2865,.APRSF,background
0.392,73,133,1,28,42,219,159,85,5224,26297,TCP,0,40,4,370,.AP.SF,background
0.0,42,219,156,211,37,97,191,40,443,38308,TCP,0,0,1,40,...R..,background
0.26,42,219,156,211,99,176,44,239,80,36818,TCP,0,0,4,915,.AP.SF,background
2.92,42,219,159,95,101,127,8,137,13715,445,TCP,0,0,2,96,....S.,background
4.496,42,219,153,219,70,156,247,184,80,49766,TCP,0,0,7,1465,.AP.SF,background
0.568,218,153,9,181,42,219,156,211,35881,443,TCP,0,0,11,1486,.AP.SF,background
0.032,42,219,154,96,209,48,63,24,80,4176,TCP,0,0,4,354,.AP.SF,background
30.132,189,99,167,84,42,219,156,239,443,41325,TCP,0,0,2,104,.A....,background
0.0,42,219,153,191,226,201,164,154,53,60642,UDP,0,0,1,1500,.A....,background
0.16,216,63,204,64,42,219,156,211,62819,80,TCP,0,0,5,647,.AP.SF,background
0.492,42,219,145,88,66,45,210,174,25,39498,TCP,0,0,4,462,.AP.S.,background
1.024,240,151,23,216,42,219,159,86,80,51014,TCP,0,40,7,2423,.AP.SF,background
0.0,42,219,153,191,253,228,110,163,53,4020,UDP,0,0,1,1500,.A....,background
13.588,214,41,233,182,42,219,154,119,3033,80,TCP,0,0,49,11638,.AP.SF,background
0.0,227,139,248,54,42,219,153,191,24529,53,UDP,0,40,15,975,.A....,background
0.304,220,21,179,42,42,219,154,107,80,37794,TCP,0,8,4,540,.AP.SF,background
31.144,85,194,138,225,42,219,159,85,443,62865,TCP,0,0,70,92470,.AP.SF,background
0.0,165,42,202,116,42,219,153,191,16108,53,UDP,0,40,15,975,.A....,background
0.2,67,136,170,185,42,219,154,103,52754,80,TCP,0,40,8,863,.AP.SF,background
6.0,169,106,107,69,42,219,154,154,45032,80,TCP,0,0,17,2418,.AP.SF,background
5.064,220,161,35,182,42,219,156,211,51108,443,TCP,0,0,17,2054,.AP.S.,background
0.164,42,219,153,128,143,255,90,225,36607,80,TCP,0,0,19,961,.APRSF,background
5.156,218,156,239,36,42,219,156,211,48968,443,TCP,0,40,8,925,.APRS.,background
0.0,176,207,44,246,42,219,159,82,47773,8000,TCP,0,0,1,84,.AP...,background
0.0,42,219,154,114,143,72,8,137,45697,53,UDP,0,0,1,68,.A....,background
0.0,42,219,159,92,108,66,255,251,47207,465,TCP,0,72,1,40,...R..,background
0.0,42,219,158,165,204,97,41,108,53,62081,UDP,0,0,1,155,.A....,background
0.288,222,239,240,102,42,219,156,211,35051,80,TCP,0,0,6,714,.AP.SF,background
0.196,42,219,159,90,52,215,53,167,55713,50000,TCP,0,0,2,80,.A.RS.,background
3.008,202,179,66,235,42,219,150,201,39220,23,TCP,0,40,2,104,....S.,background
7.0,70,210,174,29,42,219,155,28,39599,443,TCP,0,0,4,240,....S.,background
0.0,143,72,8,137,42,219,156,231,53,35442,UDP,0,0,1,131,.A....,background
1.648,70,211,164,111,42,219,155,28,3850,443,TCP,0,0,12,2629,.APRSF,background
38.404,42,219,156,231,143,72,8,137,61000,53,UDP,0,0,2,112,.A....,background
0.588,165,131,216,197,42,219,156,211,42791,80,TCP,0,0,6,693,.AP.SF,background
0.0,42,219,153,62,204,97,45,112,53,52090,UDP,0,0,1,69,.A....,background
0.0,42,219,159,94,123,6,2,109,61942,443,TCP,0,0,1,40,.A....,background
0.0,143,72,8,137,42,219,154,109,53,46197,UDP,0,0,1,139,.A....,background
0.0,209,248,141,253,42,219,153,191,5119,53,UDP,0,40,2,140,.A....,background
1.78,42,219,159,82,133,18,60,180,10021,58279,TCP,0,0,11,655,.AP.SF,background
3.228,42,219,158,156,168,38,13,182,443,51884,TCP,0,0,9,1857,.AP.SF,background
0.084,42,219,153,202,216,199,43,145,80,58652,TCP,0,0,4,340,.AP.SF,background
0.26,42,219,156,211,131,137,230,40,443,64565,TCP,0,0,11,6757,.AP.SF,background
0.884,42,219,159,82,67,207,104,24,21,59076,TCP,0,0,8,458,.AP.SF,background
0.932,211,35,243,150,42,219,156,211,60474,443,TCP,0,0,8,1244,.APR.F,background
2.936,42,219,159,95,58,191,88,133,5447,445,TCP,0,0,2,96,....S.,background
5.76,69,16,64,34,42,219,153,115,53196,80,TCP,0,40,7,2283,.AP.S.,background
11.72,42,219,156,239,67,36,125,107,443,56292,TCP,0,0,261,364905,.AP.SF,background
0.088,42,219,154,105,59,41,249,238,80,2023,TCP,0,0,5,1281,.AP.SF,background
0.0,75,129,168,176,42,219,155,5,6000,1433,TCP,0,40,1,40,....S.,background
0.0,235,139,215,177,42,219,153,191,37309,53,UDP,0,40,2,130,.A....,background
0.0,42,219,154,101,143,72,8,137,37645,53,UDP,0,0,1,85,.A....,background
0.0,85,236,125,187,42,219,154,107,43199,80,TCP,0,0,1,52,.A...F,background
0.0,43,42,86,110,42,219,158,190,52230,53,UDP,0,0,1,72,.A....,background
0.3,42,219,156,211,202,213,174,83,80,53931,TCP,0,0,4,1153,.AP.SF,background
0.0,234,179,255,223,42,219,153,191,9866,53,UDP,0,40,5,350,.A....,background
0.188,42,219,158,160,76,246,241,77,80,58587,TCP,0,0,20,24684,.AP.SF,background
0.084,42,219,159,85,101,149,196,215,53785,80,TCP,0,0,2,177,.AP...,background
0.004,42,219,153,191,35,169,148,129,53,53587,UDP,0,0,11,16500,.A....,background
0.22,143,72,4,250,42,219,159,88,53,32923,UDP,0,0,3,399,.A....,background
20.184,42,219,156,243,201,160,221,245,22011,59045,TCP,0,0,2,108,.AP...,background
2.912,42,219,159,95,187,79,175,3,6623,445,TCP,0,0,2,96,....S.,background
1.276,42,219,155,28,64,189,32,78,443,60658,TCP,0,0,10,3344,.APRSF,background
0.0,208,91,64,26,42,219,152,249,59849,53,UDP,0,0,1,71,.A....,background
8.992,165,138,144,176,42,219,159,177,40483,5060,TCP,0,40,3,180,....S.,background
0.0,43,164,49,177,42,219,155,26,80,34647,TCP,0,0,1,52,.A...F,background
1.276,42,219,159,95,56,240,1,126,58450,445,TCP,0,0,3,144,....S.,background
0.0,44,120,171,39,42,219,153,191,31975,53,UDP,0,40,7,455,.A....,background
0.0,42,219,155,59,43,164,49,177,53731,443,TCP,0,0,1,41,.A....,background
0.776,199,134,156,30,42,219,155,28,52746,443,TCP,0,24,14,3005,.APRSF,background
0.352,42,219,153,38,43,164,49,185,50536,80,TCP,0,0,233,12198,.AP.SF,background
0.336,66,45,206,245,42,219,158,156,50027,443,TCP,0,40,4,740,.AP.S.,background
0.0,165,151,88,75,42,219,159,194,53,65533,UDP,0,64,1,121,.A....,background
0.3,216,52,248,107,42,219,156,211,55742,80,TCP,0,0,5,649,.AP.SF,background
0.688,223,81,53,253,42,219,156,211,2022,443,TCP,0,0,8,1541,.AP.SF,background
0.0,254,88,39,113,42,219,155,56,23011,53,UDP,0,40,1,64,.A....,background
0.0,143,72,8,137,42,219,159,94,53,57295,UDP,0,0,1,90,.A....,background
0.548,169,111,216,80,42,219,156,211,62370,80,TCP,0,0,5,590,.AP.SF,background
0.0,43,236,191,130,42,219,153,191,8517,53,UDP,0,40,1,67,.A....,background
26.0,42,219,159,197,209,61,194,29,58498,161,UDP,0,0,6,444,.A....,background
0.068,209,51,34,252,42,219,154,105,61453,80,TCP,0,0,6,955,.AP.SF,background
0.0,143,72,8,137,42,219,156,231,53,51165,UDP,0,0,1,131,.A....,background
0.0,42,219,156,243,79,238,7,230,22001,45460,TCP,0,0,1,54,.AP...,background
4.316,168,38,13,131,42,219,158,156,49167,443,TCP,0,0,29,5603,.AP.SF,background
0.0,153,105,250,136,42,219,152,249,46491,53,UDP,0,40,1,67,.A....,background
0.428,185,51,228,36,42,219,155,56,57277,80,TCP,0,72,5,707,.AP.SF,background
0.048,212,112,75,243,42,219,156,243,45303,22001,TCP,0,0,2,112,.AP...,background
2.12,64,12,29,57,42,219,155,28,36596,443,TCP,0,72,14,3087,.APRSF,background
0.0,36,190,250,32,42,219,157,50,60968,22,TCP,0,0,1,52,....S.,background
19.024,209,135,3,187,42,219,156,211,52658,80,TCP,0,0,8,1226,.AP.SF,background
2.976,42,219,159,95,238,216,145,73,12864,445,TCP,0,0,2,96,....S.,background
49.34,60,230,92,68,42,219,159,85,443,26317,TCP,0,0,46,17468,.AP..F,background
19.716,42,219,158,235,194,233,64,72,80,42125,TCP,0,0,66,73277,.AP.SF,background
0.0,206,222,112,104,42,219,159,194,721,53,UDP,0,40,1,61,.A....,background
0.0,42,219,155,106,42,152,0,151,53,29064,UDP,0,0,1,76,.A....,background
0.86,66,53,166,74,42,219,154,100,49790,80,TCP,0,0,21,1256,.APRS.,background
8.792,42,219,158,156,168,38,13,19,443,62940,TCP,0,0,69,78302,.AP.SF,background
0.0,76,143,18,41,42,219,153,191,16562,53,UDP,0,40,1,64,.A....,background
2.988,42,219,159,95,74,190,190,222,55378,445,TCP,0,0,2,96,....S.,background
0.0,42,219,153,191,200,215,159,91,53,9677,UDP,0,0,3,4500,.A....,background
0.0,196,232,28,144,42,219,159,85,443,60713,TCP,0,0,1,52,.A....,background
0.0,210,132,48,142,42,219,153,62,36097,53,UDP,0,64,1,77,.A....,background
0.0,42,219,159,63,143,72,8,137,55437,53,UDP,0,0,1,71,.A....,background
2.92,42,219,159,95,56,167,73,80,64065,445,TCP,0,0,2,96,....S.,background
4.228,42,219,156,211,216,62,42,119,80,34590,TCP,0,0,5,1062,.AP.SF,background
0.032,42,219,155,26,43,164,44,49,54575,80,TCP,0,0,2,104,.A...F,background
0.004,42,219,153,191,73,109,108,99,53,42765,UDP,0,0,22,33000,.A....,background
0.0,143,72,8,137,42,219,154,128,53,35574,UDP,0,0,1,111,.A....,background
0.084,42,219,159,92,211,214,135,209,54594,40451,TCP,0,0,4,284,.AP.SF,background
0.0,47,149,194,194,42,219,156,171,6000,1433,TCP,0,40,1,40,....S.,background
0.0,42,219,158,161,143,72,8,137,34277,53,UDP,0,0,1,57,.A....,background
1.552,70,213,150,133,42,219,155,28,4697,443,TCP,0,0,12,2861,.APRSF,background
15.58,42,219,158,156,168,38,13,117,443,58262,TCP,0,0,19,12275,.AP.SF,background
25.868,42,219,156,211,220,171,63,1,443,53910,TCP,0,0,8,1481,.AP.SF,background
4.144,67,207,246,230,42,219,156,211,52353,443,TCP,0,0,9,1131,.AP.SF,background
0.0,209,9,154,135,42,219,156,211,48694,443,TCP,0,40,1,83,.AP..F,background
0.0,42,207,239,165,42,219,154,101,18339,53,UDP,0,0,1,88,.A....,background
0.0,204,97,46,113,42,219,153,7,39514,53,UDP,0,0,1,98,.A....,background
0.0,60,62,249,158,42,219,157,213,53,58944,UDP,0,0,1,805,.A....,background
0.0,87,181,25,60,42,219,153,191,22046,53,UDP,0,40,25,1625,.A....,background
0.912,71,161,203,58,42,219,155,88,22738,8080,TCP,0,40,4,953,.AP.S.,background
49.46,42,219,154,151,211,46,237,50,143,49242,TCP,0,0,6,380,.AP...,background
0.0,204,97,46,113,42,219,153,62,63137,53,UDP,0,0,1,63,.A....,background
0.0,42,219,153,62,52,240,227,175,53,48392,UDP,0,0,1,139,.A....,background
0.664,42,219,156,211,133,133,163,129,443,46315,TCP,0,0,12,5797,.AP.SF,background
0.04,42,219,156,211,67,207,106,182,443,33424,TCP,0,0,4,4350,.AP...,background
4.152,42,219,156,211,211,50,31,193,80,43369,TCP,0,0,4,1385,.AP.SF,background
4.48,42,219,156,211,223,83,9,145,443,39280,TCP,0,0,8,2035,.AP.SF,background
0.0,193,185,140,250,42,219,159,92,11761,53,UDP,0,72,1,56,.A....,background
0.0,42,219,156,239,143,72,8,137,58290,53,UDP,0,0,1,62,.A....,background
0.208,133,132,7,206,42,219,155,102,50005,110,TCP,0,0,8,386,.AP.SF,background
0.0,43,164,40,113,42,219,159,94,443,64084,TCP,0,0,1,52,.A....,background
2.964,42,219,159,95,116,5,191,148,58954,445,TCP,0,0,2,96,....S.,background
0.12,42,219,158,220,62,204,33,6,3306,58541,TCP,0,8,7,1017,.AP..F,background
0.0,133,54,238,129,42,219,154,108,49755,53,UDP,0,40,1,78,.A....,background
2.956,42,219,159,95,151,160,58,239,27116,445,TCP,0,0,2,96,....S.,background
0.74,42,219,159,82,67,207,104,24,21,59170,TCP,0,0,8,458,.AP.SF,background
0.0,42,219,159,82,202,28,176,40,8000,40740,TCP,0,0,1,52,.A....,background
0.68,209,135,42,60,42,219,156,211,51932,80,TCP,0,0,6,781,.AP.SF,background
0.0,42,219,159,94,123,6,0,198,58754,443,TCP,0,0,1,40,.A....,background
0.952,71,177,52,159,42,219,156,243,15212,25,TCP,0,0,5,289,.APRS.,background
1.56,150,217,186,136,42,219,158,191,50695,80,TCP,0,72,6,2207,.AP.SF,background
0.0,43,164,44,14,42,219,155,26,80,35621,TCP,0,0,1,52,.A...F,background
0.18,42,219,155,56,63,79,135,190,80,59130,TCP,0,0,10,10471,.AP.SF,background
0.0,42,219,154,97,143,72,8,137,57984,53,UDP,0,0,1,72,.A....,background
41.208,208,91,102,173,42,219,158,212,3894,64051,UDP,0,0,10,932,.A....,background
3.016,42,219,159,95,246,205,56,218,31405,445,TCP,0,0,2,96,....S.,background
60.24,64,103,100,25,42,219,158,212,58645,64051,UDP,0,72,11,1302,.A....,background
0.12,131,155,120,182,42,219,154,98,49356,80,TCP,0,0,7,873,.AP.SF,background
0.0,42,219,153,191,210,94,14,171,80,50729,TCP,0,0,1,40,.A...F,background
4.244,211,214,130,143,42,219,156,211,56167,443,TCP,0,40,10,1172,.AP.S.,background
0.0,42,219,154,155,143,72,4,250,50541,53,UDP,0,0,1,72,.A....,background
0.0,42,219,153,62,204,97,46,250,53,60828,UDP,0,0,1,57,.A....,background
21.288,176,250,41,232,42,219,153,24,50913,80,TCP,0,72,22,2056,.APRSF,background
0.0,42,219,156,243,133,6,230,21,22001,47846,TCP,0,0,1,54,.AP...,background
0.0,143,72,8,137,42,219,145,114,53,53303,UDP,0,0,1,126,.A....,background
3.0,201,161,99,142,42,219,158,180,10844,80,TCP,0,0,6,1540,.AP.SF,background
2.38,42,219,158,213,79,180,163,163,53092,30022,TCP,0,0,8,363,.AP.S.,background
0.0,43,14,192,9,42,219,157,213,53,59454,UDP,0,0,1,89,.A....,background
3.496,51,166,75,34,42,219,155,28,6580,443,TCP,0,0,12,2861,.APRSF,background
2.968,74,185,202,219,42,219,159,251,2354,445,TCP,0,72,2,96,....S.,background
0.0,42,219,159,85,216,52,155,179,27262,6881,UDP,0,0,1,131,.A....,background
0.58,42,219,156,211,210,95,154,162,80,49516,TCP,0,0,4,1632,.AP.SF,background
0.0,143,72,8,137,42,219,155,57,53,61409,UDP,0,0,1,183,.A....,background
0.0,185,29,223,47,42,219,153,7,17993,53,UDP,0,72,1,72,.A....,background
0.692,42,219,156,184,193,26,243,174,55468,25,TCP,0,0,6,435,.APRS.,background
0.72,201,174,68,132,42,219,155,56,1550,80,TCP,0,0,13,895,.AP.SF,background
0.184,211,55,36,204,42,219,156,211,61378,80,TCP,0,0,5,646,.AP.SF,background
0.476,165,128,11,222,42,219,156,211,53595,443,TCP,0,0,8,964,.AP.SF,background
1.964,64,188,162,238,42,219,155,28,48949,443,TCP,0,0,13,2901,.APRSF,background
0.0,106,150,20,111,42,219,155,59,40029,28303,UDP,0,40,1,49,.A....,background
18.856,209,63,198,118,42,219,156,211,51264,443,TCP,0,0,12,1821,.AP.SF,background
1.104,42,219,155,28,64,10,232,128,443,53811,TCP,0,0,10,3328,.APRSF,background
0.0,42,219,158,220,62,204,33,6,3306,60538,TCP,0,0,1,60,.A..S.,background
0.0,42,219,152,249,187,46,39,251,53,65430,UDP,0,0,1,131,.A....,background
2.856,76,246,171,196,42,219,158,178,33534,80,TCP,0,40,8,681,.AP.SF,background
0.0,42,219,153,191,170,255,194,4,53,35417,UDP,0,0,13,19500,.A....,background
1.124,223,80,202,248,42,219,159,82,36709,7070,TCP,0,0,10,856,.AP.SF,background
0.0,118,226,82,2,42,219,159,115,14173,5226,TCP,0,40,1,60,....S.,background
0.0,42,219,159,88,185,117,127,169,60000,3478,UDP,0,0,1,56,.A....,background
5.22,76,45,189,127,42,219,158,175,50798,443,TCP,0,0,7,1654,.AP.SF,background
0.188,42,219,154,98,209,50,205,227,110,60839,TCP,0,0,9,490,.AP.SF,background
0.0,210,46,43,130,42,219,153,7,46509,53,UDP,0,72,1,76,.A....,background
0.0,143,72,8,137,42,219,155,1,53,50957,UDP,0,0,1,126,.A....,background
0.0,42,219,154,121,143,72,8,137,44815,53,UDP,0,0,1,72,.A....,background
1.024,37,97,222,157,42,219,159,85,35457,54966,TCP,0,0,6,897,.APRSF,background
0.0,42,219,153,7,185,84,36,113,53,58400,UDP,0,0,1,134,.A....,background
0.0,253,228,110,163,42,219,153,191,60965,53,UDP,0,40,1,70,.A....,background
23.172,56,58,168,57,42,219,153,156,50310,80,TCP,0,0,1169,81288,.AP.SF,background
0.0,42,219,153,7,85,236,82,247,53,37635,UDP,0,0,1,131,.A....,background
0.0,185,14,86,105,42,219,153,191,40142,53,UDP,0,40,25,1625,.A....,background
0.004,42,219,153,191,150,181,54,119,53,40706,UDP,0,0,6,9000,.A....,background
0.0,42,219,156,231,143,72,8,137,38799,53,UDP,0,0,1,56,.A....,background
0.0,42,219,154,121,143,72,8,137,34777,53,UDP,0,0,1,87,.A....,background
0.74,208,106,152,66,42,219,156,211,55502,80,TCP,0,0,5,647,.AP.SF,background
4.292,176,130,178,191,42,219,156,211,47431,80,TCP,0,40,5,670,.AP.S.,background
0.0,42,219,154,159,143,72,4,250,36922,53,UDP,0,0,1,66,.A....,background
0.0,143,72,4,250,42,219,154,159,53,48351,UDP,0,0,1,126,.A....,background
0.0,42,219,154,154,143,72,4,250,43323,53,UDP,0,0,1,71,.A....,background
0.0,42,219,154,114,143,72,8,137,59511,53,UDP,0,0,1,61,.A....,background
0.064,201,168,88,215,42,219,159,82,39943,8000,TCP,0,0,3,228,.AP.S.,background
0.0,228,39,196,142,42,219,153,191,55793,53,UDP,0,40,1,67,.A....,background
0.24,42,219,153,123,60,242,232,68,80,29073,TCP,0,0,5,640,.AP.SF,background
0.0,143,72,8,137,42,219,156,231,53,39867,UDP,0,0,1,131,.A....,background
0.0,192,128,247,82,42,219,153,62,60833,53,UDP,0,40,1,64,.A....,background
0.032,36,178,196,253,42,219,158,213,10010,58642,TCP,0,40,3,164,.A..SF,background
0.0,101,202,80,76,42,219,153,191,5633,53,UDP,0,40,2,140,.A....,background
0.0,143,72,8,137,42,219,158,161,53,39572,UDP,0,0,1,78,.A....,background
0.116,42,219,154,101,165,133,210,207,33771,8121,TCP,0,0,10,624,.AP.SF,background
0.264,42,219,156,211,218,146,255,218,80,63691,TCP,0,0,4,1074,.AP.SF,background
0.0,34,92,142,66,42,219,153,191,63707,53,UDP,0,40,25,1625,.A....,background
0.004,42,219,153,191,224,224,197,135,53,31530,UDP,0,0,9,13500,.A....,background
2.96,42,219,159,95,227,243,179,102,12699,445,TCP,0,0,2,96,....S.,background
0.0,42,219,156,231,143,72,8,137,41419,53,UDP,0,0,1,76,.A....,background
0.0,143,72,8,137,42,219,156,231,53,46606,UDP,0,0,1,125,.A....,background
0.0,143,72,8,137,42,219,156,231,53,44209,UDP,0,0,1,131,.A....,background
0.632,67,206,162,204,42,219,158,160,51160,80,TCP,0,0,82,3963,.AP.SF,background
0.76,214,42,47,114,42,219,156,211,56799,443,TCP,0,0,12,1388,.AP.SF,background
0.0,42,219,154,104,143,72,4,250,41538,53,UDP,0,0,1,64,.A....,background
2.548,211,57,58,191,42,219,158,156,54456,443,TCP,0,0,14,3421,.AP.SF,background
0.62,85,236,82,121,42,219,153,154,443,58742,TCP,0,0,12,5268,.AP.SF,background
0.0,143,72,8,137,42,219,156,231,53,44222,UDP,0,0,1,125,.A....,background
0.0,42,219,158,156,216,49,5,18,443,59811,TCP,0,0,1,40,.A....,background
2.996,42,219,155,113,82,18,214,30,41012,80,TCP,0,0,3,180,....S.,background
7.428,42,219,154,107,77,241,1,254,80,17475,TCP,0,0,42,53103,.AP.S.,background
0.0,42,219,153,191,165,201,190,127,53,47148,UDP,0,0,3,4500,.A....,background
0.0,37,71,26,106,42,219,159,194,43976,53,UDP,0,0,1,56,.A....,background
