client_id,client_ip_octet_1,client_ip_octet_2,client_ip_octet_3,client_ip_octet_4,client_device_type,client_ip
CLIENT_52,192,168,237,10,mobile,192.168.237.10
CLIENT_53,10,168,223,130,workstation,10.168.223.130
CLIENT_54,10,3,133,59,laptop,10.3.133.59
CLIENT_55,10,20,145,177,iot_device,10.20.145.177
CLIENT_56,192,10,114,81,laptop,192.10.114.81
CLIENT_57,10,3,63,21,laptop,10.3.63.21
CLIENT_58,10,1,5,78,workstation,10.1.5.78
CLIENT_59,10,3,17,244,mobile,10.3.17.244
CLIENT_60,10,168,35,100,iot_device,10.168.35.100
CLIENT_61,10,20,146,232,workstation,10.20.146.232
CLIENT_62,192,168,148,162,workstation,192.168.148.162
CLIENT_63,10,3,92,143,laptop,10.3.92.143
CLIENT_64,10,3,161,95,laptop,10.3.161.95
CLIENT_65,10,5,5,221,laptop,10.5.5.221
CLIENT_66,10,1,33,199,laptop,10.1.33.199
CLIENT_67,192,168,63,214,mobile,192.168.63.214
CLIENT_68,10,2,18,86,laptop,10.2.18.86
CLIENT_69,10,1,91,176,workstation,10.1.91.176
CLIENT_70,192,3,124,27,laptop,192.3.124.27
CLIENT_71,192,2,154,83,workstation,192.2.154.83
CLIENT_72,192,4,36,157,iot_device,192.4.36.157
CLIENT_73,10,5,243,237,workstation,10.5.243.237
CLIENT_74,192,4,251,18,workstation,192.4.251.18
CLIENT_75,10,3,182,177,iot_device,10.3.182.177
CLIENT_76,10,10,33,184,laptop,10.10.33.184
CLIENT_77,192,1,142,169,workstation,192.1.142.169
CLIENT_78,10,10,133,223,laptop,10.10.133.223
CLIENT_79,10,10,169,161,mobile,10.10.169.161
CLIENT_80,10,5,163,136,workstation,10.5.163.136
CLIENT_81,10,1,107,162,workstation,10.1.107.162
CLIENT_82,10,168,24,156,laptop,10.168.24.156
CLIENT_83,10,10,76,122,laptop,10.10.76.122
CLIENT_84,192,3,12,123,workstation,192.3.12.123
CLIENT_85,192,3,246,155,laptop,192.3.246.155
CLIENT_86,10,20,89,2,laptop,10.20.89.2
CLIENT_87,10,5,225,212,workstation,10.5.225.212
CLIENT_88,10,1,241,238,iot_device,10.1.241.238
CLIENT_89,10,168,44,79,workstation,10.168.44.79
CLIENT_90,10,10,246,215,workstation,10.10.246.215
CLIENT_91,10,3,208,245,iot_device,10.3.208.245
CLIENT_92,10,2,186,213,laptop,10.2.186.213
CLIENT_93,192,5,203,3,mobile,192.5.203.3
CLIENT_94,10,168,1,179,workstation,10.168.1.179
CLIENT_95,10,168,28,102,workstation,10.168.28.102
CLIENT_96,10,20,132,140,mobile,10.20.132.140
CLIENT_97,192,5,191,154,mobile,192.5.191.154
CLIENT_98,10,5,202,207,mobile,10.5.202.207
CLIENT_99,10,1,54,141,workstation,10.1.54.141
