flow_id,src_ip,dst_ip,src_port,dst_port,protocol,service_name,bytes,packets,duration_ms,tcp_flags,input_interface,output_interface,tos,direction,host_type,ext_category
FLOW_45,10.2.107.89,40.192.219.23,53340,80,6,HTTP,35918,18,5156,SYN-ACK,Gi0/2,Gi0/0,0,inbound,server,cloud_service
FLOW_46,10.3.204.239,54.152.134.72,55591,3306,6,MYSQL,43605,95,91631,RST,Gi1/1,Gi1/0,0,outbound,workstation,mail_server
FLOW_47,10.2.98.35,54.184.40.9,59812,6379,6,REDIS,45578,6,36979,FIN-ACK,Gi0/3,Gi1/1,40,outbound,workstation,api_endpoint
FLOW_48,10.5.173.247,151.157.67.141,55466,443,6,HTTPS,21237,18,21224,ACK,Gi0/0,Gi1/1,46,outbound,workstation,cdn
FLOW_49,10.1.29.169,104.50.91.163,63231,6379,6,REDIS,9523,2,50191,ACK,Gi0/2,Gi0/1,0,outbound,workstation,cloud_service
FLOW_50,10.3.229.197,208.238.177.232,63699,161,17,SNMP,7713,27,49139,SYN,Gi0/0,Gi0/2,32,outbound,iot_device,mail_server
FLOW_51,10.4.33.154,54.38.95.13,52445,53,17,DNS,32508,9,16232,ACK,Gi0/0,Gi0/3,0,outbound,workstation,mail_server
FLOW_52,10.4.166.211,40.142.213.223,58926,993,6,IMAPS,32407,2,331,ACK,Gi0/0,Gi1/0,0,outbound,workstation,cloud_service
FLOW_53,10.1.169.178,172.115.176.235,51671,21,6,FTP,2307,13,1620,SYN,Gi1/0,Gi0/3,0,outbound,server,cdn
FLOW_54,10.3.119.37,172.180.131.138,60737,3389,6,RDP,13175,86,26326,SYN,Gi0/2,Gi1/1,40,inbound,workstation,web_server
FLOW_55,10.1.169.178,17.158.184.187,52371,21,6,FTP,69341,15,7042,FIN-ACK,Gi1/1,Gi0/0,0,outbound,server,mail_server
FLOW_56,10.2.221.156,64.190.198.121,56596,53,17,DNS,83022,125,4282,PSH-ACK,Gi1/0,Gi1/1,0,outbound,iot_device,web_server
FLOW_57,10.3.139.10,93.173.110.172,62167,80,6,HTTP,21504,62,1121,RST-ACK,Gi0/2,Gi0/0,0,inbound,workstation,web_server
FLOW_58,10.1.91.219,64.80.25.231,49572,21,6,FTP,20607,134,28264,RST-ACK,Gi0/2,Gi0/0,0,outbound,printer,api_endpoint
FLOW_59,10.2.98.35,23.22.167.116,58897,6379,6,REDIS,1147,138,9968,RST,Gi0/1,Gi1/1,0,outbound,workstation,cloud_service
FLOW_60,10.4.2.244,13.4.102.122,63978,3389,6,RDP,43316,3,1047,ACK,Gi0/2,Gi0/0,0,outbound,printer,api_endpoint
FLOW_61,10.3.139.10,93.173.110.172,49518,80,6,HTTP,10826,68,133232,RST,Gi0/3,Gi1/1,0,outbound,workstation,web_server
FLOW_62,10.3.63.142,72.188.38.86,51207,80,6,HTTP,116904,91,15368,PSH-ACK,Gi0/0,Gi1/0,0,outbound,iot_device,mail_server
FLOW_63,10.4.33.154,54.38.95.13,62058,53,17,DNS,26634,137,47988,FIN-ACK,Gi1/0,Gi1/0,0,outbound,workstation,mail_server
FLOW_64,10.3.108.103,93.18.85.135,53257,110,6,POP3,107022,0,4523,ACK,Gi0/1,Gi1/0,0,outbound,printer,web_server
FLOW_65,10.5.107.60,204.222.115.5,54142,143,6,IMAP,51095,15,3271,SYN-ACK,Gi1/1,Gi1/0,0,inbound,workstation,cdn
FLOW_66,10.3.173.173,20.245.218.214,63648,123,17,NTP,1378,48,99855,ACK,Gi1/0,Gi1/1,0,outbound,workstation,cdn
FLOW_67,10.5.137.63,74.86.217.107,60988,80,6,HTTP,4303,5,84118,RST-ACK,Gi1/0,Gi0/3,46,outbound,iot_device,mail_server
FLOW_68,10.4.2.244,13.4.102.122,54337,3389,6,RDP,37320,38,59810,PSH-ACK,Gi0/3,Gi1/0,0,outbound,printer,api_endpoint
FLOW_69,10.3.204.239,54.152.134.72,59917,3306,6,MYSQL,27368,94,11617,RST,Gi0/2,Gi1/0,0,inbound,workstation,mail_server
FLOW_70,10.2.221.156,64.190.198.121,54572,53,17,DNS,11694,124,1713,SYN,Gi0/1,Gi0/2,40,outbound,iot_device,web_server
FLOW_71,10.1.19.148,142.197.55.74,59122,25,6,SMTP,28507,20,31980,PSH-ACK,Gi1/0,Gi0/0,0,inbound,iot_device,web_server
FLOW_72,10.4.229.250,208.224.230.164,62922,993,6,IMAPS,184956,55,19835,PSH-ACK,Gi0/3,Gi0/0,40,outbound,workstation,api_endpoint
FLOW_73,10.4.100.164,199.24.125.134,58299,3306,6,MYSQL,115886,25,66825,PSH-ACK,Gi0/0,Gi0/1,46,inbound,server,cloud_service
FLOW_74,10.3.63.142,31.90.211.191,51385,80,6,HTTP,13312,41,7560,PSH-ACK,Gi0/1,Gi0/0,0,inbound,iot_device,api_endpoint
FLOW_75,10.3.227.28,54.66.36.242,60974,110,6,POP3,15939,66,61589,FIN-ACK,Gi1/0,Gi1/0,32,inbound,iot_device,mail_server
FLOW_76,10.5.60.205,17.234.207.74,61288,5432,6,POSTGRESQL,59640,10,12257,ACK,Gi1/1,Gi0/2,46,outbound,server,cdn
FLOW_77,10.3.88.117,172.145.131.237,54388,21,6,FTP,49100,48,73192,ACK,Gi0/2,Gi0/0,0,outbound,workstation,api_endpoint
FLOW_78,10.3.204.239,93.55.55.95,64124,3306,6,MYSQL,114031,17,2166,PSH-ACK,Gi1/1,Gi0/0,0,outbound,workstation,mail_server
FLOW_79,10.3.71.105,17.195.226.198,49168,53,17,DNS,4966,3,21683,ACK,Gi1/0,Gi0/1,0,outbound,printer,cloud_service
FLOW_80,10.2.107.89,40.192.219.23,55498,80,6,HTTP,29191,28,33214,RST,Gi0/3,Gi0/2,46,outbound,server,cloud_service
FLOW_81,10.3.173.173,20.245.218.214,58499,123,17,NTP,48211,14,1960,SYN,Gi0/2,Gi0/2,0,outbound,workstation,cdn
FLOW_82,10.5.173.247,151.157.67.141,57273,443,6,HTTPS,70945,34,25438,RST-ACK,Gi0/3,Gi0/2,0,outbound,workstation,cdn
FLOW_83,10.3.208.122,40.204.131.25,63560,25,6,SMTP,115567,6,17320,FIN-ACK,Gi0/3,Gi0/2,32,outbound,workstation,cloud_service
FLOW_84,10.3.63.142,31.90.211.191,57665,80,6,HTTP,77791,5,45634,PSH-ACK,Gi0/0,Gi1/0,0,outbound,iot_device,api_endpoint
FLOW_85,10.2.53.229,199.40.97.204,64762,123,17,NTP,8052,56,23233,RST,Gi0/1,Gi0/0,46,inbound,workstation,web_server
FLOW_86,10.4.22.189,104.12.235.110,49777,3306,6,MYSQL,52423,16,29106,RST,Gi0/2,Gi1/0,40,inbound,workstation,api_endpoint
FLOW_87,10.3.208.122,23.105.51.140,61369,53,17,DNS,3925,14,11531,PSH-ACK,Gi0/1,Gi0/2,46,outbound,workstation,mail_server
FLOW_88,10.3.229.197,208.238.177.232,54418,161,17,SNMP,15009,7,6309,SYN-ACK,Gi0/1,Gi0/0,32,outbound,iot_device,mail_server
FLOW_89,10.4.33.154,52.147.78.102,52855,53,17,DNS,3273,22,23208,PSH-ACK,Gi0/2,Gi0/3,0,inbound,workstation,cloud_service
FLOW_90,10.3.208.122,40.204.131.25,49289,25,6,SMTP,131991,2,17577,ACK,Gi1/1,Gi0/2,32,outbound,workstation,cloud_service
FLOW_91,10.3.227.28,8.243.31.56,60586,110,6,POP3,67037,4,17852,PSH-ACK,Gi0/2,Gi0/2,0,outbound,iot_device,mail_server
FLOW_92,10.1.20.88,17.34.147.91,59701,443,6,HTTPS,51056,21,32958,ACK,Gi0/1,Gi1/1,0,outbound,workstation,cdn
FLOW_93,10.4.21.81,151.146.141.136,60373,443,6,HTTPS,37719,19,66076,ACK,Gi0/3,Gi1/1,32,outbound,printer,api_endpoint
FLOW_94,10.3.63.142,31.90.211.191,50473,80,6,HTTP,166478,262,10359,RST,Gi0/1,Gi0/3,32,outbound,iot_device,api_endpoint
FLOW_95,10.1.155.52,40.41.173.187,59964,6379,6,REDIS,17166,2,16908,ACK,Gi0/0,Gi0/3,32,outbound,server,dns_server
FLOW_96,10.3.22.19,35.192.43.170,55437,22,6,SSH,24475,106,4674,RST,Gi0/2,Gi1/0,0,inbound,workstation,mail_server
FLOW_97,10.1.9.139,35.185.155.127,49958,5432,6,POSTGRESQL,13835,4,1994,SYN,Gi1/0,Gi1/1,32,outbound,iot_device,dns_server
FLOW_98,10.2.221.156,64.190.198.121,58963,53,17,DNS,92231,111,12382,PSH-ACK,Gi0/2,Gi0/2,0,outbound,iot_device,web_server
FLOW_99,10.1.173.140,17.53.242.56,62298,3389,6,RDP,50208,15,30194,ACK,Gi1/1,Gi1/1,0,outbound,printer,cdn
FLOW_100,10.2.33.126,52.5.188.86,59002,993,6,IMAPS,25574,69,21086,SYN-ACK,Gi0/3,Gi1/0,0,outbound,workstation,dns_server
FLOW_101,10.5.114.83,54.81.15.144,63989,161,17,SNMP,80311,96,41193,ACK,Gi0/2,Gi0/0,0,inbound,workstation,cdn
FLOW_102,10.1.19.148,142.197.55.74,52230,25,6,SMTP,137156,4,596,RST-ACK,Gi0/0,Gi0/0,40,outbound,iot_device,web_server
FLOW_103,10.4.21.81,52.155.48.152,53869,443,6,HTTPS,72126,27,66678,PSH-ACK,Gi1/1,Gi0/0,46,outbound,printer,cdn
FLOW_104,10.5.114.83,34.228.197.43,63051,161,17,SNMP,5230,40,52904,PSH-ACK,Gi1/0,Gi0/0,0,outbound,workstation,cloud_service
FLOW_105,10.3.108.103,93.18.85.135,51274,110,6,POP3,30418,41,3098,RST,Gi0/2,Gi1/0,0,outbound,printer,web_server
FLOW_106,10.5.60.205,17.234.207.74,54022,5432,6,POSTGRESQL,25647,15,2782,PSH-ACK,Gi1/1,Gi0/3,0,outbound,server,cdn
FLOW_107,10.3.22.19,52.43.64.40,52937,22,6,SSH,9860,21,11067,PSH-ACK,Gi0/2,Gi0/0,0,outbound,workstation,web_server
FLOW_108,10.2.107.89,40.192.219.23,50064,80,6,HTTP,32382,72,7847,FIN-ACK,Gi0/2,Gi0/3,46,outbound,server,cloud_service
FLOW_109,10.3.208.122,23.105.51.140,57462,53,17,DNS,29533,13,9698,SYN-ACK,Gi0/1,Gi0/1,0,outbound,workstation,mail_server
FLOW_110,10.3.173.173,20.245.218.214,54145,123,17,NTP,85331,39,43368,SYN-ACK,Gi0/2,Gi1/1,0,outbound,workstation,cdn
FLOW_111,10.3.247.248,157.128.61.221,65520,143,6,IMAP,25908,73,75457,ACK,Gi0/1,Gi0/2,0,outbound,iot_device,cdn
FLOW_112,10.3.108.103,35.227.76.94,56152,3389,6,RDP,12416,50,144249,ACK,Gi0/2,Gi1/1,46,outbound,printer,api_endpoint
FLOW_113,10.2.178.54,20.50.68.43,64644,993,6,IMAPS,2800,18,37152,PSH-ACK,Gi1/1,Gi0/1,0,outbound,workstation,web_server
FLOW_114,10.3.227.28,8.243.31.56,50703,110,6,POP3,9978,48,4542,RST,Gi0/1,Gi1/1,32,inbound,iot_device,mail_server
FLOW_115,10.5.114.83,34.228.197.43,60929,161,17,SNMP,21442,108,37927,FIN-ACK,Gi0/2,Gi0/2,46,outbound,workstation,cloud_service
FLOW_116,10.3.63.142,72.188.38.86,62967,80,6,HTTP,20112,5,98292,SYN-ACK,Gi0/3,Gi1/0,46,outbound,iot_device,mail_server
FLOW_117,10.4.21.81,52.155.48.152,50666,443,6,HTTPS,35692,10,11674,SYN,Gi0/0,Gi0/0,32,outbound,printer,cdn
FLOW_118,10.3.229.197,208.238.177.232,55094,161,17,SNMP,99167,15,7014,ACK,Gi0/3,Gi0/3,0,outbound,iot_device,mail_server
FLOW_119,10.3.22.19,52.43.64.40,56071,22,6,SSH,4216,112,217,PSH-ACK,Gi0/3,Gi0/0,0,outbound,workstation,web_server
FLOW_120,10.3.173.173,20.245.218.214,54870,123,17,NTP,13632,76,38371,ACK,Gi0/3,Gi0/3,32,inbound,workstation,cdn
FLOW_121,10.2.33.126,52.5.188.86,50008,993,6,IMAPS,106986,1,16807,SYN,Gi0/0,Gi0/3,40,outbound,workstation,dns_server
FLOW_122,10.1.169.178,172.115.176.235,61370,21,6,FTP,19602,25,46779,ACK,Gi0/3,Gi0/0,0,outbound,server,cdn
FLOW_123,10.3.21.46,23.136.60.60,50190,143,6,IMAP,22097,7,105840,FIN-ACK,Gi0/2,Gi1/1,40,outbound,printer,api_endpoint
FLOW_124,10.1.91.219,35.135.153.182,55759,21,6,FTP,23481,133,11540,FIN-ACK,Gi0/3,Gi0/3,40,outbound,printer,mail_server
FLOW_125,10.1.9.139,54.207.223.199,60220,5432,6,POSTGRESQL,37281,0,35750,FIN-ACK,Gi0/2,Gi1/0,0,outbound,iot_device,cdn
FLOW_126,10.1.155.52,40.41.173.187,57610,6379,6,REDIS,10604,88,64305,SYN,Gi0/1,Gi1/0,46,inbound,server,dns_server
FLOW_127,10.2.53.229,13.41.130.123,52904,123,17,NTP,89126,29,18687,PSH-ACK,Gi0/2,Gi0/3,40,outbound,workstation,dns_server
FLOW_128,10.3.227.28,8.243.31.56,59248,110,6,POP3,9846,3,16056,PSH-ACK,Gi0/0,Gi0/1,0,outbound,iot_device,mail_server
FLOW_129,10.4.212.233,204.169.17.89,58657,25,6,SMTP,78100,13,65002,RST,Gi0/3,Gi0/3,0,outbound,workstation,dns_server
FLOW_130,10.2.20.41,34.107.106.248,51126,110,6,POP3,66839,9,23279,ACK,Gi0/3,Gi1/0,46,outbound,workstation,cdn
FLOW_131,10.2.107.89,40.192.219.23,50455,80,6,HTTP,102368,187,13899,ACK,Gi0/0,Gi0/1,40,inbound,server,cloud_service
FLOW_132,10.3.227.28,8.243.31.56,58032,110,6,POP3,59394,2,5149,ACK,Gi1/0,Gi0/3,0,inbound,iot_device,mail_server
FLOW_133,10.3.21.46,23.136.60.60,52479,143,6,IMAP,26650,43,17308,PSH-ACK,Gi1/0,Gi1/1,0,inbound,printer,api_endpoint
FLOW_134,10.5.224.105,93.213.37.98,60340,161,17,SNMP,137936,54,25094,PSH-ACK,Gi0/1,Gi0/0,32,outbound,workstation,api_endpoint
FLOW_135,10.1.91.219,35.135.153.182,65136,21,6,FTP,6272,197,22062,SYN,Gi0/3,Gi0/2,0,outbound,printer,mail_server
FLOW_136,10.3.22.19,35.192.43.170,54638,22,6,SSH,8280,77,19584,ACK,Gi0/2,Gi0/3,0,outbound,workstation,mail_server
FLOW_137,10.2.221.156,204.158.182.202,63202,53,17,DNS,79604,8,11810,SYN,Gi0/0,Gi0/3,0,outbound,iot_device,api_endpoint
FLOW_138,10.1.155.52,172.74.48.68,61928,6379,6,REDIS,17673,6,5564,ACK,Gi1/1,Gi0/3,0,outbound,server,api_endpoint
FLOW_139,10.4.42.99,64.154.3.248,55162,5432,6,POSTGRESQL,83576,10,8218,PSH-ACK,Gi0/2,Gi0/0,40,outbound,printer,mail_server
FLOW_140,10.4.22.189,8.97.164.61,56166,3306,6,MYSQL,47745,77,31245,RST,Gi1/1,Gi1/1,0,outbound,workstation,web_server
FLOW_141,10.1.155.52,40.41.173.187,59030,6379,6,REDIS,1604,0,30842,RST,Gi0/2,Gi1/0,32,inbound,server,dns_server
FLOW_142,10.3.229.197,208.238.177.232,60562,161,17,SNMP,29012,9,16418,FIN-ACK,Gi0/0,Gi0/0,0,outbound,iot_device,mail_server
FLOW_143,10.3.88.117,204.75.93.26,60941,110,6,POP3,64192,24,8502,SYN-ACK,Gi0/0,Gi0/1,32,outbound,workstation,cloud_service
FLOW_144,10.2.33.126,52.5.188.86,56552,993,6,IMAPS,3562,27,385,FIN-ACK,Gi0/3,Gi1/1,0,inbound,workstation,dns_server
FLOW_145,10.2.178.54,13.158.30.23,59539,993,6,IMAPS,117186,28,35830,ACK,Gi0/1,Gi1/0,0,outbound,workstation,cloud_service
FLOW_146,10.4.166.211,8.239.173.177,56352,3306,6,MYSQL,35401,91,4658,ACK,Gi0/2,Gi0/3,46,outbound,workstation,cloud_service
FLOW_147,10.1.91.219,64.80.25.231,64439,21,6,FTP,60961,61,30360,ACK,Gi1/1,Gi0/1,0,outbound,printer,api_endpoint
FLOW_148,10.3.21.46,23.136.60.60,60095,143,6,IMAP,32924,20,3050,ACK,Gi0/3,Gi0/1,0,inbound,printer,api_endpoint
FLOW_149,10.4.100.164,40.196.163.31,58375,3306,6,MYSQL,178508,51,59535,ACK,Gi0/2,Gi0/1,40,outbound,server,dns_server
FLOW_150,10.3.22.19,35.192.43.170,62484,22,6,SSH,45998,47,95782,ACK,Gi1/0,Gi1/1,0,outbound,workstation,mail_server
FLOW_151,10.4.229.250,208.224.230.164,54867,993,6,IMAPS,53355,167,20281,ACK,Gi1/1,Gi0/1,40,outbound,workstation,api_endpoint
FLOW_152,10.1.91.219,35.135.153.182,53611,21,6,FTP,795,181,53757,ACK,Gi0/1,Gi0/0,0,outbound,printer,mail_server
FLOW_153,10.1.155.52,40.41.173.187,53870,6379,6,REDIS,14096,70,10525,RST,Gi1/0,Gi0/3,40,outbound,server,dns_server
FLOW_154,10.3.71.105,93.133.177.191,58983,53,17,DNS,14833,145,14015,ACK,Gi1/0,Gi1/0,0,inbound,printer,dns_server
FLOW_155,10.1.169.178,172.115.176.235,53976,21,6,FTP,24805,76,33779,PSH-ACK,Gi1/1,Gi0/3,46,outbound,server,cdn
FLOW_156,10.1.29.169,17.69.68.64,52006,6379,6,REDIS,49669,32,29703,RST,Gi0/2,Gi0/0,0,outbound,workstation,dns_server
FLOW_157,10.1.91.219,35.135.153.182,50682,21,6,FTP,1383,13,14485,RST-ACK,Gi0/1,Gi0/3,0,outbound,printer,mail_server
FLOW_158,10.3.145.113,64.98.113.127,58216,22,6,SSH,8040,137,91417,FIN-ACK,Gi1/1,Gi0/3,32,inbound,workstation,web_server
FLOW_159,10.4.166.211,40.142.213.223,52572,993,6,IMAPS,67208,58,1514,PSH-ACK,Gi0/1,Gi0/2,0,outbound,workstation,cloud_service
FLOW_160,10.1.173.140,17.53.242.56,55788,3389,6,RDP,15611,34,35036,PSH-ACK,Gi1/0,Gi0/1,0,inbound,printer,cdn
FLOW_161,10.5.224.105,93.213.37.98,49298,161,17,SNMP,71037,42,87056,SYN,Gi0/2,Gi1/1,0,inbound,workstation,api_endpoint
FLOW_162,10.2.33.126,52.5.188.86,53091,993,6,IMAPS,30597,13,30674,RST-ACK,Gi1/1,Gi1/1,0,outbound,workstation,dns_server
FLOW_163,10.4.100.164,40.196.163.31,49817,3306,6,MYSQL,6210,72,12366,PSH-ACK,Gi0/0,Gi0/0,46,outbound,server,dns_server
FLOW_164,10.4.229.250,208.224.230.164,60872,993,6,IMAPS,18950,65,108842,ACK,Gi0/2,Gi0/0,0,outbound,workstation,api_endpoint
FLOW_165,10.3.204.239,54.152.134.72,49425,3306,6,MYSQL,28343,4,3603,SYN-ACK,Gi1/1,Gi0/3,46,outbound,workstation,mail_server
FLOW_166,10.4.21.81,52.155.48.152,57825,443,6,HTTPS,65354,93,2995,FIN-ACK,Gi0/2,Gi1/1,0,inbound,printer,cdn
FLOW_167,10.5.114.83,54.81.15.144,53461,161,17,SNMP,32484,29,6547,FIN-ACK,Gi1/0,Gi0/0,40,inbound,workstation,cdn
FLOW_168,10.5.60.205,17.234.207.74,52699,5432,6,POSTGRESQL,104936,22,7367,RST,Gi1/1,Gi0/1,0,outbound,server,cdn
FLOW_169,10.2.33.126,20.0.138.212,62939,993,6,IMAPS,74060,52,25613,PSH-ACK,Gi0/1,Gi1/1,0,outbound,workstation,mail_server
FLOW_170,10.4.212.233,157.227.160.151,59401,25,6,SMTP,191925,9,8064,RST,Gi1/0,Gi0/2,0,outbound,workstation,api_endpoint
FLOW_171,10.5.137.63,23.234.215.11,59524,161,17,SNMP,76151,24,25397,PSH-ACK,Gi1/1,Gi0/3,40,outbound,iot_device,dns_server
FLOW_172,10.5.224.105,54.76.160.211,61801,161,17,SNMP,21634,40,26563,SYN,Gi0/3,Gi0/3,40,inbound,workstation,cloud_service
FLOW_173,10.3.63.142,31.90.211.191,61184,80,6,HTTP,35089,13,4518,SYN,Gi0/1,Gi0/1,46,inbound,iot_device,api_endpoint
FLOW_174,10.3.88.117,204.75.93.26,56916,110,6,POP3,49325,108,1300,ACK,Gi1/1,Gi0/0,46,inbound,workstation,cloud_service
FLOW_175,10.3.88.117,172.145.131.237,61185,110,6,POP3,40189,100,88251,ACK,Gi0/0,Gi1/0,40,inbound,workstation,api_endpoint
FLOW_176,10.3.21.46,72.167.45.25,51909,143,6,IMAP,50038,10,6054,ACK,Gi1/0,Gi0/0,0,outbound,printer,cloud_service
FLOW_177,10.4.42.99,64.13.87.146,60978,5432,6,POSTGRESQL,22923,84,10870,ACK,Gi0/2,Gi0/0,0,outbound,printer,web_server
