enrollment_id,fk_student_id,fk_course_id,fk_semester_id,grade,status
ENR_77,STU_93,COURSE_23,SEM_5,C,Completed
ENR_78,STU_53,COURSE_13,SEM_3,W,Withdrawn
ENR_79,STU_35,COURSE_8,SEM_2,B,Completed
ENR_80,STU_67,COURSE_16,SEM_4,B,Completed
ENR_81,STU_57,COURSE_14,SEM_3,C,Completed
ENR_82,STU_25,COURSE_6,SEM_1,A,Completed
ENR_83,STU_32,COURSE_8,SEM_1,B,Completed
ENR_84,STU_71,COURSE_17,SEM_4,C,Completed
ENR_85,STU_59,COURSE_14,SEM_3,A,Completed
ENR_86,STU_50,COURSE_12,SEM_3,B,Completed
ENR_87,STU_33,COURSE_8,SEM_2,D,Completed
ENR_88,STU_76,COURSE_19,SEM_4,A,Completed
ENR_89,STU_39,COURSE_9,SEM_2,A,Completed
ENR_90,STU_32,COURSE_8,SEM_1,F,Failed
ENR_91,STU_89,COURSE_22,SEM_5,B,Completed
ENR_92,STU_26,COURSE_6,SEM_1,C,Completed
ENR_93,STU_22,COURSE_5,SEM_1,F,Failed
ENR_94,STU_71,COURSE_17,SEM_4,B,Completed
ENR_95,STU_62,COURSE_15,SEM_3,A,Completed
ENR_96,STU_4,COURSE_1,SEM_0,F,Failed
ENR_97,STU_8,COURSE_2,SEM_0,C,Completed
ENR_98,STU_37,COURSE_9,SEM_2,C,Completed
ENR_99,STU_83,COURSE_20,SEM_4,D,Completed
ENR_100,STU_40,COURSE_10,SEM_2,W,Withdrawn
ENR_101,STU_78,COURSE_19,SEM_4,W,Withdrawn
ENR_102,STU_31,COURSE_7,SEM_1,A,Completed
ENR_103,STU_23,COURSE_5,SEM_1,B,Completed
ENR_104,STU_79,COURSE_19,SEM_4,B,Completed
ENR_105,STU_87,COURSE_21,SEM_5,A,Completed
ENR_106,STU_7,COURSE_1,SEM_0,A,Completed
ENR_107,STU_5,COURSE_1,SEM_0,D,Completed
ENR_108,STU_67,COURSE_16,SEM_4,C,Completed
ENR_109,STU_33,COURSE_8,SEM_2,A,Completed
ENR_110,STU_57,COURSE_14,SEM_3,B,Completed
ENR_111,STU_15,COURSE_3,SEM_0,A,Completed
ENR_112,STU_86,COURSE_21,SEM_5,C,Completed
ENR_113,STU_45,COURSE_11,SEM_2,B,Completed
ENR_114,STU_89,COURSE_22,SEM_5,B,Completed
ENR_115,STU_79,COURSE_19,SEM_4,A,Completed
ENR_116,STU_70,COURSE_17,SEM_4,F,Failed
ENR_117,STU_23,COURSE_5,SEM_1,F,Failed
ENR_118,STU_76,COURSE_19,SEM_4,C,Completed
ENR_119,STU_5,COURSE_1,SEM_0,A,Completed
ENR_120,STU_57,COURSE_14,SEM_3,C,Completed
ENR_121,STU_40,COURSE_10,SEM_2,W,Withdrawn
ENR_122,STU_99,COURSE_24,SEM_5,B,Completed
ENR_123,STU_19,COURSE_4,SEM_1,C,Completed
ENR_124,STU_94,COURSE_23,SEM_5,A,Completed
ENR_125,STU_9,COURSE_2,SEM_0,A,Completed
ENR_126,STU_62,COURSE_15,SEM_3,B,Completed
ENR_127,STU_58,COURSE_14,SEM_3,A,Completed
ENR_128,STU_89,COURSE_22,SEM_5,A,Completed
ENR_129,STU_29,COURSE_7,SEM_1,B,Completed
ENR_130,STU_90,COURSE_22,SEM_5,C,Completed
ENR_131,STU_67,COURSE_16,SEM_4,A,Completed
ENR_132,STU_89,COURSE_22,SEM_5,B,Completed
ENR_133,STU_19,COURSE_4,SEM_1,B,Completed
ENR_134,STU_75,COURSE_18,SEM_4,B,Completed
ENR_135,STU_94,COURSE_23,SEM_5,C,Completed
ENR_136,STU_4,COURSE_1,SEM_0,A,Completed
ENR_137,STU_36,COURSE_9,SEM_2,B,Completed
ENR_138,STU_63,COURSE_15,SEM_3,B,Completed
ENR_139,STU_10,COURSE_2,SEM_0,B,Completed
ENR_140,STU_51,COURSE_12,SEM_3,C,Completed
ENR_141,STU_62,COURSE_15,SEM_3,C,Completed
ENR_142,STU_76,COURSE_19,SEM_4,A,Completed
ENR_143,STU_92,COURSE_23,SEM_5,C,Completed
ENR_144,STU_40,COURSE_10,SEM_2,B,Completed
ENR_145,STU_44,COURSE_11,SEM_2,W,Withdrawn
ENR_146,STU_47,COURSE_11,SEM_2,B,Completed
ENR_147,STU_95,COURSE_23,SEM_5,D,Completed
ENR_148,STU_19,COURSE_4,SEM_1,A,Completed
ENR_149,STU_49,COURSE_12,SEM_2,C,Completed
ENR_150,STU_4,COURSE_1,SEM_0,W,Withdrawn
ENR_151,STU_42,COURSE_10,SEM_2,C,Completed
ENR_152,STU_94,COURSE_23,SEM_5,B,Completed
ENR_153,STU_62,COURSE_15,SEM_3,B,Completed
ENR_154,STU_34,COURSE_8,SEM_2,B,Completed
ENR_155,STU_99,COURSE_24,SEM_5,A,Completed
ENR_156,STU_60,COURSE_15,SEM_3,W,Withdrawn
ENR_157,STU_94,COURSE_23,SEM_5,C,Completed
ENR_158,STU_1,COURSE_0,SEM_0,A,Completed
ENR_159,STU_46,COURSE_11,SEM_2,B,Completed
ENR_160,STU_83,COURSE_20,SEM_5,A,Completed
ENR_161,STU_75,COURSE_18,SEM_4,A,Completed
ENR_162,STU_40,COURSE_10,SEM_2,C,Completed
ENR_163,STU_49,COURSE_12,SEM_2,C,Completed
ENR_164,STU_42,COURSE_10,SEM_2,D,Completed
ENR_165,STU_52,COURSE_13,SEM_3,A,Completed
ENR_166,STU_23,COURSE_5,SEM_1,B,Completed
ENR_167,STU_78,COURSE_19,SEM_4,C,Completed
ENR_168,STU_7,COURSE_1,SEM_0,C,Completed
ENR_169,STU_41,COURSE_10,SEM_2,B,Completed
ENR_170,STU_28,COURSE_7,SEM_1,F,Failed
ENR_171,STU_73,COURSE_18,SEM_4,A,Completed
ENR_172,STU_74,COURSE_18,SEM_4,B,Completed
ENR_173,STU_71,COURSE_17,SEM_4,A,Completed
ENR_174,STU_92,COURSE_23,SEM_5,F,Failed
ENR_175,STU_93,COURSE_23,SEM_5,C,Completed
ENR_176,STU_18,COURSE_4,SEM_1,F,Failed
ENR_177,STU_11,COURSE_2,SEM_0,D,Completed
ENR_178,STU_13,COURSE_3,SEM_0,C,Completed
ENR_179,STU_72,COURSE_18,SEM_4,A,Completed
ENR_180,STU_97,COURSE_24,SEM_5,B,Completed
ENR_181,STU_92,COURSE_23,SEM_5,F,Failed
ENR_182,STU_66,COURSE_16,SEM_4,A,Completed
ENR_183,STU_96,COURSE_24,SEM_5,F,Failed
ENR_184,STU_87,COURSE_21,SEM_5,C,Completed
ENR_185,STU_1,COURSE_0,SEM_0,A,Completed
ENR_186,STU_11,COURSE_2,SEM_0,B,Completed
ENR_187,STU_86,COURSE_21,SEM_5,F,Failed
ENR_188,STU_8,COURSE_2,SEM_0,B,Completed
ENR_189,STU_98,COURSE_24,SEM_5,B,Completed
ENR_190,STU_82,COURSE_20,SEM_4,D,Completed
ENR_191,STU_95,COURSE_23,SEM_5,C,Completed
ENR_192,STU_36,COURSE_9,SEM_2,A,Completed
ENR_193,STU_14,COURSE_3,SEM_0,F,Failed
ENR_194,STU_51,COURSE_12,SEM_3,B,Completed
ENR_195,STU_97,COURSE_24,SEM_5,B,Completed
ENR_196,STU_36,COURSE_9,SEM_2,F,Failed
ENR_197,STU_88,COURSE_22,SEM_5,W,Withdrawn
ENR_198,STU_38,COURSE_9,SEM_2,B,Completed
ENR_199,STU_82,COURSE_20,SEM_4,B,Completed
ENR_200,STU_22,COURSE_5,SEM_1,A,Completed
ENR_201,STU_47,COURSE_11,SEM_2,F,Failed
ENR_202,STU_32,COURSE_8,SEM_1,W,Withdrawn
ENR_203,STU_23,COURSE_5,SEM_1,C,Completed
ENR_204,STU_89,COURSE_22,SEM_5,B,Completed
ENR_205,STU_80,COURSE_20,SEM_4,W,Withdrawn
ENR_206,STU_13,COURSE_3,SEM_0,F,Failed
ENR_207,STU_92,COURSE_23,SEM_5,B,Completed
ENR_208,STU_97,COURSE_24,SEM_5,F,Failed
ENR_209,STU_26,COURSE_6,SEM_1,B,Completed
ENR_210,STU_42,COURSE_10,SEM_2,W,Withdrawn
ENR_211,STU_53,COURSE_13,SEM_3,B,Completed
ENR_212,STU_65,COURSE_16,SEM_3,A,Completed
ENR_213,STU_44,COURSE_11,SEM_2,A,Completed
ENR_214,STU_14,COURSE_3,SEM_0,W,Withdrawn
ENR_215,STU_93,COURSE_23,SEM_5,B,Completed
ENR_216,STU_69,COURSE_17,SEM_4,D,Completed
ENR_217,STU_4,COURSE_1,SEM_0,D,Completed
ENR_218,STU_81,COURSE_20,SEM_4,D,Completed
ENR_219,STU_73,COURSE_18,SEM_4,B,Completed
ENR_220,STU_18,COURSE_4,SEM_1,B,Completed
ENR_221,STU_61,COURSE_15,SEM_3,A,Completed
ENR_222,STU_50,COURSE_12,SEM_3,C,Completed
ENR_223,STU_2,COURSE_0,SEM_0,C,Completed
ENR_224,STU_92,COURSE_23,SEM_5,B,Completed
ENR_225,STU_71,COURSE_17,SEM_4,W,Withdrawn
ENR_226,STU_31,COURSE_7,SEM_1,F,Failed
ENR_227,STU_1,COURSE_0,SEM_0,F,Failed
ENR_228,STU_9,COURSE_2,SEM_0,D,Completed
ENR_229,STU_75,COURSE_18,SEM_4,B,Completed
ENR_230,STU_14,COURSE_3,SEM_0,W,Withdrawn
ENR_231,STU_51,COURSE_12,SEM_3,B,Completed
ENR_232,STU_89,COURSE_22,SEM_5,B,Completed
ENR_233,STU_92,COURSE_23,SEM_5,W,Withdrawn
ENR_234,STU_26,COURSE_6,SEM_1,C,Completed
ENR_235,STU_6,COURSE_1,SEM_0,F,Failed
ENR_236,STU_49,COURSE_12,SEM_2,F,Failed
ENR_237,STU_84,COURSE_21,SEM_5,B,Completed
ENR_238,STU_62,COURSE_15,SEM_3,B,Completed
ENR_239,STU_6,COURSE_1,SEM_0,A,Completed
ENR_240,STU_65,COURSE_16,SEM_3,B,Completed
ENR_241,STU_34,COURSE_8,SEM_2,C,Completed
ENR_242,STU_22,COURSE_5,SEM_1,A,Completed
ENR_243,STU_43,COURSE_10,SEM_2,F,Failed
ENR_244,STU_87,COURSE_21,SEM_5,B,Completed
ENR_245,STU_96,COURSE_24,SEM_5,A,Completed
ENR_246,STU_14,COURSE_3,SEM_0,F,Failed
ENR_247,STU_56,COURSE_14,SEM_3,C,Completed
ENR_248,STU_76,COURSE_19,SEM_4,C,Completed
ENR_249,STU_25,COURSE_6,SEM_1,W,Withdrawn
ENR_250,STU_27,COURSE_6,SEM_1,A,Completed
ENR_251,STU_24,COURSE_6,SEM_1,B,Completed
ENR_252,STU_20,COURSE_5,SEM_1,C,Completed
ENR_253,STU_88,COURSE_22,SEM_5,A,Completed
ENR_254,STU_21,COURSE_5,SEM_1,B,Completed
ENR_255,STU_22,COURSE_5,SEM_1,C,Completed
ENR_256,STU_12,COURSE_3,SEM_0,C,Completed
ENR_257,STU_12,COURSE_3,SEM_0,F,Failed
ENR_258,STU_77,COURSE_19,SEM_4,W,Withdrawn
ENR_259,STU_28,COURSE_7,SEM_1,B,Completed
ENR_260,STU_80,COURSE_20,SEM_4,B,Completed
ENR_261,STU_58,COURSE_14,SEM_3,B,Completed
ENR_262,STU_85,COURSE_21,SEM_5,F,Failed
ENR_263,STU_55,COURSE_13,SEM_3,B,Completed
ENR_264,STU_76,COURSE_19,SEM_4,B,Completed
ENR_265,STU_80,COURSE_20,SEM_4,B,Completed
ENR_266,STU_6,COURSE_1,SEM_0,B,Completed
ENR_267,STU_56,COURSE_14,SEM_3,B,Completed
ENR_268,STU_45,COURSE_11,SEM_2,W,Withdrawn
ENR_269,STU_28,COURSE_7,SEM_1,F,Failed
ENR_270,STU_45,COURSE_11,SEM_2,C,Completed
ENR_271,STU_41,COURSE_10,SEM_2,F,Failed
ENR_272,STU_49,COURSE_12,SEM_2,B,Completed
ENR_273,STU_81,COURSE_20,SEM_4,B,Completed
ENR_274,STU_82,COURSE_20,SEM_4,A,Completed
ENR_275,STU_62,COURSE_15,SEM_3,A,Completed
ENR_276,STU_71,COURSE_17,SEM_4,B,Completed
ENR_277,STU_95,COURSE_23,SEM_5,D,Completed
ENR_278,STU_63,COURSE_15,SEM_3,B,Completed
ENR_279,STU_36,COURSE_9,SEM_2,B,Completed
ENR_280,STU_8,COURSE_2,SEM_0,A,Completed
ENR_281,STU_55,COURSE_13,SEM_3,W,Withdrawn
ENR_282,STU_23,COURSE_5,SEM_1,A,Completed
ENR_283,STU_59,COURSE_14,SEM_3,W,Withdrawn
ENR_284,STU_2,COURSE_0,SEM_0,B,Completed
ENR_285,STU_84,COURSE_21,SEM_5,C,Completed
ENR_286,STU_94,COURSE_23,SEM_5,F,Failed
ENR_287,STU_14,COURSE_3,SEM_0,F,Failed
ENR_288,STU_81,COURSE_20,SEM_4,C,Completed
ENR_289,STU_40,COURSE_10,SEM_2,C,Completed
ENR_290,STU_4,COURSE_1,SEM_0,A,Completed
ENR_291,STU_90,COURSE_22,SEM_5,B,Completed
ENR_292,STU_94,COURSE_23,SEM_5,W,Withdrawn
ENR_293,STU_4,COURSE_1,SEM_0,B,Completed
ENR_294,STU_59,COURSE_14,SEM_3,A,Completed
ENR_295,STU_82,COURSE_20,SEM_4,B,Completed
ENR_296,STU_78,COURSE_19,SEM_4,F,Failed
ENR_297,STU_41,COURSE_10,SEM_2,A,Completed
ENR_298,STU_85,COURSE_21,SEM_5,A,Completed
ENR_299,STU_82,COURSE_20,SEM_4,W,Withdrawn
ENR_300,STU_11,COURSE_2,SEM_0,F,Failed
ENR_301,STU_0,COURSE_0,SEM_0,B,Completed
ENR_302,STU_10,COURSE_2,SEM_0,D,Completed
ENR_303,STU_36,COURSE_9,SEM_2,F,Failed
ENR_304,STU_10,COURSE_2,SEM_0,A,Completed
ENR_305,STU_7,COURSE_1,SEM_0,F,Failed
ENR_306,STU_25,COURSE_6,SEM_1,A,Completed
ENR_307,STU_65,COURSE_16,SEM_3,A,Completed
ENR_308,STU_52,COURSE_13,SEM_3,C,Completed
ENR_309,STU_27,COURSE_6,SEM_1,C,Completed
ENR_310,STU_95,COURSE_23,SEM_5,C,Completed
ENR_311,STU_70,COURSE_17,SEM_4,A,Completed
ENR_312,STU_63,COURSE_15,SEM_3,B,Completed
ENR_313,STU_94,COURSE_23,SEM_5,A,Completed
ENR_314,STU_78,COURSE_19,SEM_4,B,Completed
ENR_315,STU_12,COURSE_3,SEM_0,D,Completed
ENR_316,STU_3,COURSE_0,SEM_0,B,Completed
ENR_317,STU_86,COURSE_21,SEM_5,C,Completed
ENR_318,STU_40,COURSE_10,SEM_2,B,Completed
ENR_319,STU_5,COURSE_1,SEM_0,C,Completed
ENR_320,STU_47,COURSE_11,SEM_2,A,Completed
ENR_321,STU_38,COURSE_9,SEM_2,A,Completed
ENR_322,STU_43,COURSE_10,SEM_2,F,Failed
ENR_323,STU_42,COURSE_10,SEM_2,C,Completed
ENR_324,STU_31,COURSE_7,SEM_1,B,Completed
ENR_325,STU_48,COURSE_12,SEM_2,C,Completed
ENR_326,STU_49,COURSE_12,SEM_2,F,Failed
ENR_327,STU_97,COURSE_24,SEM_5,A,Completed
ENR_328,STU_69,COURSE_17,SEM_4,B,Completed
ENR_329,STU_77,COURSE_19,SEM_4,C,Completed
ENR_330,STU_0,COURSE_0,SEM_0,B,Completed
ENR_331,STU_30,COURSE_7,SEM_1,W,Withdrawn
ENR_332,STU_98,COURSE_24,SEM_5,C,Completed
ENR_333,STU_26,COURSE_6,SEM_1,W,Withdrawn
ENR_334,STU_50,COURSE_12,SEM_3,F,Failed
ENR_335,STU_86,COURSE_21,SEM_5,B,Completed
ENR_336,STU_63,COURSE_15,SEM_3,B,Completed
ENR_337,STU_88,COURSE_22,SEM_5,A,Completed
ENR_338,STU_16,COURSE_4,SEM_0,A,Completed
ENR_339,STU_51,COURSE_12,SEM_3,W,Withdrawn
ENR_340,STU_63,COURSE_15,SEM_3,C,Completed
ENR_341,STU_34,COURSE_8,SEM_2,D,Completed
ENR_342,STU_57,COURSE_14,SEM_3,A,Completed
ENR_343,STU_99,COURSE_24,SEM_5,B,Completed
ENR_344,STU_73,COURSE_18,SEM_4,B,Completed
ENR_345,STU_31,COURSE_7,SEM_1,B,Completed
ENR_346,STU_6,COURSE_1,SEM_0,F,Failed
ENR_347,STU_18,COURSE_4,SEM_1,D,Completed
ENR_348,STU_27,COURSE_6,SEM_1,B,Completed
ENR_349,STU_88,COURSE_22,SEM_5,B,Completed
ENR_350,STU_27,COURSE_6,SEM_1,B,Completed
ENR_351,STU_81,COURSE_20,SEM_4,A,Completed
ENR_352,STU_27,COURSE_6,SEM_1,A,Completed
ENR_353,STU_66,COURSE_16,SEM_4,A,Completed
ENR_354,STU_52,COURSE_13,SEM_3,B,Completed
ENR_355,STU_95,COURSE_23,SEM_5,B,Completed
ENR_356,STU_56,COURSE_14,SEM_3,A,Completed
ENR_357,STU_92,COURSE_23,SEM_5,C,Completed
ENR_358,STU_96,COURSE_24,SEM_5,B,Completed
ENR_359,STU_74,COURSE_18,SEM_4,A,Completed
ENR_360,STU_62,COURSE_15,SEM_3,A,Completed
ENR_361,STU_86,COURSE_21,SEM_5,C,Completed
ENR_362,STU_99,COURSE_24,SEM_5,C,Completed
ENR_363,STU_24,COURSE_6,SEM_1,B,Completed
ENR_364,STU_56,COURSE_14,SEM_3,B,Completed
ENR_365,STU_14,COURSE_3,SEM_0,A,Completed
ENR_366,STU_10,COURSE_2,SEM_0,B,Completed
ENR_367,STU_67,COURSE_16,SEM_4,B,Completed
ENR_368,STU_4,COURSE_1,SEM_0,W,Withdrawn
ENR_369,STU_71,COURSE_17,SEM_4,A,Completed
ENR_370,STU_82,COURSE_20,SEM_4,A,Completed
ENR_371,STU_16,COURSE_4,SEM_1,B,Completed
ENR_372,STU_68,COURSE_17,SEM_4,A,Completed
ENR_373,STU_39,COURSE_9,SEM_2,F,Failed
ENR_374,STU_89,COURSE_22,SEM_5,D,Completed
ENR_375,STU_91,COURSE_22,SEM_5,B,Completed
ENR_376,STU_57,COURSE_14,SEM_3,F,Failed
ENR_377,STU_56,COURSE_14,SEM_3,B,Completed
ENR_378,STU_71,COURSE_17,SEM_4,C,Completed
ENR_379,STU_57,COURSE_14,SEM_3,C,Completed
ENR_380,STU_74,COURSE_18,SEM_4,B,Completed
ENR_381,STU_19,COURSE_4,SEM_1,B,Completed
ENR_382,STU_78,COURSE_19,SEM_4,W,Withdrawn
ENR_383,STU_52,COURSE_13,SEM_3,C,Completed
ENR_384,STU_75,COURSE_18,SEM_4,A,Completed
ENR_385,STU_52,COURSE_13,SEM_3,B,Completed
ENR_386,STU_30,COURSE_7,SEM_1,W,Withdrawn
ENR_387,STU_8,COURSE_2,SEM_0,A,Completed
ENR_388,STU_52,COURSE_13,SEM_3,A,Completed
ENR_389,STU_98,COURSE_24,SEM_5,B,Completed
ENR_390,STU_3,COURSE_0,SEM_0,C,Completed
ENR_391,STU_57,COURSE_14,SEM_3,B,Completed
ENR_392,STU_44,COURSE_11,SEM_2,W,Withdrawn
ENR_393,STU_0,COURSE_0,SEM_0,A,Completed
ENR_394,STU_54,COURSE_13,SEM_3,B,Completed
ENR_395,STU_77,COURSE_19,SEM_4,C,Completed
ENR_396,STU_74,COURSE_18,SEM_4,A,Completed
ENR_397,STU_97,COURSE_24,SEM_5,B,Completed
ENR_398,STU_52,COURSE_13,SEM_3,B,Completed
ENR_399,STU_58,COURSE_14,SEM_3,A,Completed
ENR_400,STU_96,COURSE_24,SEM_5,B,Completed
ENR_401,STU_31,COURSE_7,SEM_1,A,Completed
ENR_402,STU_79,COURSE_19,SEM_4,C,Completed
ENR_403,STU_18,COURSE_4,SEM_1,B,Completed
ENR_404,STU_36,COURSE_9,SEM_2,W,Withdrawn
ENR_405,STU_67,COURSE_16,SEM_4,B,Completed
ENR_406,STU_57,COURSE_14,SEM_3,F,Failed
ENR_407,STU_19,COURSE_4,SEM_1,D,Completed
ENR_408,STU_65,COURSE_16,SEM_3,B,Completed
ENR_409,STU_57,COURSE_14,SEM_3,B,Completed
ENR_410,STU_92,COURSE_23,SEM_5,B,Completed
ENR_411,STU_60,COURSE_15,SEM_3,W,Withdrawn
ENR_412,STU_88,COURSE_22,SEM_5,B,Completed
ENR_413,STU_96,COURSE_24,SEM_5,A,Completed
ENR_414,STU_8,COURSE_2,SEM_0,B,Completed
ENR_415,STU_7,COURSE_1,SEM_0,B,Completed
ENR_416,STU_50,COURSE_12,SEM_3,B,Completed
ENR_417,STU_49,COURSE_12,SEM_2,B,Completed
ENR_418,STU_55,COURSE_13,SEM_3,D,Completed
ENR_419,STU_74,COURSE_18,SEM_4,B,Completed
ENR_420,STU_31,COURSE_7,SEM_1,C,Completed
ENR_421,STU_17,COURSE_4,SEM_1,A,Completed
ENR_422,STU_68,COURSE_17,SEM_4,B,Completed
ENR_423,STU_38,COURSE_9,SEM_2,W,Withdrawn
ENR_424,STU_92,COURSE_23,SEM_5,B,Completed
ENR_425,STU_6,COURSE_1,SEM_0,W,Withdrawn
ENR_426,STU_70,COURSE_17,SEM_4,B,Completed
ENR_427,STU_72,COURSE_18,SEM_4,A,Completed
ENR_428,STU_27,COURSE_6,SEM_1,W,Withdrawn
ENR_429,STU_8,COURSE_2,SEM_0,A,Completed
ENR_430,STU_31,COURSE_7,SEM_1,C,Completed
ENR_431,STU_39,COURSE_9,SEM_2,A,Completed
ENR_432,STU_97,COURSE_24,SEM_5,D,Completed
ENR_433,STU_87,COURSE_21,SEM_5,B,Completed
ENR_434,STU_23,COURSE_5,SEM_1,A,Completed
ENR_435,STU_47,COURSE_11,SEM_2,C,Completed
ENR_436,STU_59,COURSE_14,SEM_3,B,Completed
ENR_437,STU_91,COURSE_22,SEM_5,A,Completed
ENR_438,STU_13,COURSE_3,SEM_0,B,Completed
ENR_439,STU_76,COURSE_19,SEM_4,C,Completed
ENR_440,STU_92,COURSE_23,SEM_5,C,Completed
ENR_441,STU_91,COURSE_22,SEM_5,C,Completed
ENR_442,STU_27,COURSE_6,SEM_1,A,Completed
ENR_443,STU_12,COURSE_3,SEM_0,B,Completed
ENR_444,STU_59,COURSE_14,SEM_3,B,Completed
ENR_445,STU_7,COURSE_1,SEM_0,A,Completed
ENR_446,STU_12,COURSE_3,SEM_0,A,Completed
ENR_447,STU_7,COURSE_1,SEM_0,B,Completed
ENR_448,STU_21,COURSE_5,SEM_1,C,Completed
ENR_449,STU_86,COURSE_21,SEM_5,B,Completed
ENR_450,STU_67,COURSE_16,SEM_4,C,Completed
ENR_451,STU_63,COURSE_15,SEM_3,A,Completed
ENR_452,STU_98,COURSE_24,SEM_5,B,Completed
ENR_453,STU_49,COURSE_12,SEM_2,C,Completed
ENR_454,STU_3,COURSE_0,SEM_0,D,Completed
ENR_455,STU_16,COURSE_4,SEM_0,A,Completed
ENR_456,STU_26,COURSE_6,SEM_1,A,Completed
ENR_457,STU_67,COURSE_16,SEM_4,D,Completed
ENR_458,STU_35,COURSE_8,SEM_2,A,Completed
ENR_459,STU_31,COURSE_7,SEM_1,B,Completed
